Week Ending Date,Game Type,Sales Amount
11/14/2015,Instant,3794390.00
11/14/2015,Pulltab,204657.00
11/21/2015,Lotto,1379226.00
11/21/2015,Instant,5515307.00
11/21/2015,Pulltab,418082.00
11/28/2015,Lotto,1452975.00
11/28/2015,Instant,4135206.00
11/28/2015,Pulltab,148990.00
12/05/2015,Lotto,1630160.00
12/05/2015,Instant,3968194.00
12/05/2015,Pulltab,357047.00
12/12/2015,Lotto,1787604.00
12/12/2015,Instant,4271919.00
12/12/2015,Pulltab,286200.00
12/19/2015,Lotto,2057617.00
12/19/2015,Instant,4674324.00
12/19/2015,Pulltab,442171.00
12/26/2015,Lotto,2220301.00
12/26/2015,Instant,4162777.00
12/26/2015,Pulltab,224775.00
01/02/2016,Lotto,2984907.00
01/02/2016,Instant,4558270.00
01/02/2016,Pulltab,203175.00
01/09/2016,Lotto,13662338.00
01/09/2016,Instant,5527055.00
01/09/2016,Pulltab,263158.00
01/16/2016,Lotto,13394979.00
01/16/2016,Instant,3402833.00
01/16/2016,Pulltab,376686.00
01/23/2016,Lotto,1629886.00
01/23/2016,Instant,3527190.00
01/23/2016,Pulltab,264299.00
01/30/2016,Lotto,1742314.00
01/30/2016,Instant,6851486.00
01/30/2016,Pulltab,312917.00
02/06/2016,Lotto,1748604.00
02/06/2016,Instant,4365079.00
02/06/2016,Pulltab,209520.00
02/13/2016,Lotto,1798891.00
02/13/2016,Instant,4302894.00
02/13/2016,Pulltab,312552.00
02/20/2016,Lotto,1928938.00
02/20/2016,Instant,6111020.00
02/20/2016,Pulltab,282150.00
02/27/2016,Lotto,2187791.00
02/27/2016,Instant,5089975.00
02/27/2016,Pulltab,291690.00
03/05/2016,Lotto,2020541.00
03/05/2016,Instant,4443948.00
03/05/2016,Pulltab,309993.00
03/12/2016,Lotto,1622014.00
03/12/2016,Instant,4758833.00
03/12/2016,Pulltab,276376.00
03/19/2016,Lotto,1513968.00
03/19/2016,Instant,5213724.00
03/19/2016,Pulltab,342569.00
03/26/2016,Lotto,1576110.00
03/26/2016,Instant,4808020.00
03/26/2016,Pulltab,309747.00
04/02/2016,Lotto,1683791.00
04/02/2016,Instant,5898701.00
04/02/2016,Pulltab,280022.00
04/09/2016,Lotto,1727587.00
04/09/2016,Instant,5228010.00
04/09/2016,Pulltab,324540.00
04/16/2016,Lotto,1820971.00
04/16/2016,Instant,4828741.00
04/16/2016,Pulltab,301804.00
04/23/2016,Lotto,1981894.00
04/23/2016,Instant,5152015.00
04/23/2016,Pulltab,262450.00
04/30/2016,Lotto,2327079.00
04/30/2016,Instant,5391984.00
04/30/2016,Pulltab,309111.00
05/07/2016,Lotto,3812791.00
05/07/2016,Instant,4592006.00
05/07/2016,Pulltab,249310.00
05/14/2016,Lotto,1625748.00
05/14/2016,Instant,4337075.00
05/14/2016,Pulltab,341757.00
05/21/2016,Lotto,1640075.00
05/21/2016,Instant,4915916.00
05/21/2016,Pulltab,183774.00
05/28/2016,Lotto,1733616.00
05/28/2016,Instant,5455357.00
05/28/2016,Pulltab,368810.00
06/04/2016,Lotto,1789199.00
06/04/2016,Instant,4415300.00
06/04/2016,Pulltab,224910.00
06/11/2016,Lotto,1906030.00
06/11/2016,Instant,3872532.00
06/11/2016,Pulltab,263706.00
06/18/2016,Lotto,2076818.00
06/18/2016,Instant,4888398.00
06/18/2016,Pulltab,315444.00
06/25/2016,Lotto,2305548.00
06/25/2016,Instant,3775646.00
06/25/2016,Pulltab,248576.00
07/02/2016,Lotto,2814339.00
07/02/2016,Instant,4576079.00
07/02/2016,Pulltab,237923.00
07/09/2016,Lotto,3767113.00
07/09/2016,Instant,3830380.00
07/09/2016,Pulltab,207528.29
07/16/2016,Lotto,2329689.50
07/16/2016,Instant,3782621.00
07/16/2016,Pulltab,298787.79
07/23/2016,Lotto,2559527.50
07/23/2016,Instant,5287869.00
07/23/2016,Pulltab,267882.75
07/30/2016,Lotto,3765093.00
07/30/2016,Instant,3657109.00
07/30/2016,Pulltab,237972.02
08/06/2016,Lotto,1548072.00
08/06/2016,Instant,3651828.00
08/06/2016,Pulltab,270810.00
08/13/2016,Lotto,1544742.00
08/13/2016,Instant,4666329.00
08/13/2016,Pulltab,279180.00
08/20/2016,Lotto,1608578.50
08/20/2016,Instant,3758792.00
08/20/2016,Pulltab,273780.00
08/27/2016,Lotto,1652252.00
08/27/2016,Instant,4563789.00
08/27/2016,Pulltab,257630.52
09/03/2016,Lotto,1721695.00
09/03/2016,Instant,3673689.00
09/03/2016,Pulltab,207170.22
09/10/2016,Lotto,1818789.50
09/10/2016,Instant,3838832.00
09/10/2016,Pulltab,246837.52
09/17/2016,Lotto,1993175.00
09/17/2016,Instant,4331167.00
09/17/2016,Pulltab,277497.67
09/24/2016,Lotto,1431017.00
09/24/2016,Instant,4747945.00
09/24/2016,Pulltab,248035.96
10/01/2016,Lotto,1448499.00
10/01/2016,Instant,3616434.00
10/01/2016,Pulltab,249936.11
10/08/2016,Lotto,1513749.00
10/08/2016,Instant,3552626.00
10/08/2016,Pulltab,235244.99
10/15/2016,Lotto,1557526.00
10/15/2016,Instant,4054955.00
10/15/2016,Pulltab,269510.02
10/22/2016,Lotto,1593323.00
10/22/2016,Instant,3343044.00
10/22/2016,Pulltab,255430.81
10/29/2016,Lotto,1648841.50
10/29/2016,Instant,6127547.00
10/29/2016,Pulltab,271630.76
11/05/2016,Lotto,1788943.00
11/05/2016,Instant,3908234.00
11/05/2016,Pulltab,197650.76
11/12/2016,Lotto,1871345.00
11/12/2016,Instant,4070637.00
11/12/2016,Pulltab,261047.73
11/19/2016,Lotto,2083599.50
11/19/2016,Instant,5587935.00
11/19/2016,Pulltab,279380.52
11/19/2016,Instaplay,200251.00
11/26/2016,Lotto,2626384.00
11/26/2016,Instant,4357731.00
11/26/2016,Pulltab,163215.00
11/26/2016,Instaplay,197100.00
12/03/2016,Lotto,1426890.50
12/03/2016,Instant,4210398.00
12/03/2016,Pulltab,247518.23
12/03/2016,Instaplay,193273.00
12/10/2016,Lotto,1431314.50
12/10/2016,Instant,4365170.00
12/10/2016,Pulltab,239824.25
12/10/2016,Instaplay,238268.00
12/17/2016,Lotto,1480043.50
12/17/2016,Instant,4590496.00
12/17/2016,Pulltab,212760.00
12/17/2016,Instaplay,161120.00
12/24/2016,Lotto,1505907.50
12/24/2016,Instant,4450904.00
12/24/2016,Pulltab,251257.99
12/24/2016,Instaplay,192435.00
12/31/2016,Lotto,1495707.50
12/31/2016,Instant,4563702.00
12/31/2016,Pulltab,186165.00
12/31/2016,Instaplay,230591.00
01/07/2017,Lotto,1495992.00
01/07/2017,Instant,5111640.00
01/07/2017,Pulltab,142445.71
01/07/2017,Instaplay,162284.00
01/14/2017,Lotto,1678036.00
01/14/2017,Instant,3603454.00
01/14/2017,Pulltab,314460.51
01/14/2017,Instaplay,222429.00
01/21/2017,Lotto,1652888.50
01/21/2017,Instant,3918679.00
01/21/2017,Pulltab,168980.01
01/21/2017,Instaplay,176908.00
01/28/2017,Lotto,1717363.50
01/28/2017,Instant,6432845.00
01/28/2017,Pulltab,237558.29
01/28/2017,Instaplay,149673.00
02/04/2017,Lotto,1807592.00
02/04/2017,Instant,4310531.00
02/04/2017,Pulltab,221795.01
02/04/2017,Instaplay,162869.00
02/11/2017,Lotto,2045303.00
02/11/2017,Instant,4248581.00
02/11/2017,Pulltab,185016.29
02/11/2017,Instaplay,304403.00
02/18/2017,Lotto,2460670.50
02/18/2017,Instant,5755222.00
02/18/2017,Pulltab,143404.25
02/18/2017,Instaplay,151939.00
02/25/2017,Lotto,2694845.50
02/25/2017,Instant,4392579.00
02/25/2017,Pulltab,110804.63
02/25/2017,Instaplay,166466.00
03/04/2017,Lotto,1576320.50
03/04/2017,Instant,5096278.00
03/04/2017,Pulltab,128711.00
03/04/2017,Instaplay,155111.00
03/11/2017,Lotto,1650147.50
03/11/2017,Instant,4628458.00
03/11/2017,Pulltab,113620.40
03/11/2017,Instaplay,137963.00
03/18/2017,Lotto,1722471.50
03/18/2017,Instant,4562378.00
03/18/2017,Pulltab,209617.17
03/18/2017,Instaplay,140674.00
03/25/2017,Lotto,1681257.50
03/25/2017,Instant,5466455.00
03/25/2017,Pulltab,178096.87
03/25/2017,Instaplay,238647.00
04/01/2017,Lotto,1602762.50
04/01/2017,Instant,6074375.00
04/01/2017,Pulltab,185509.48
04/01/2017,Instaplay,162226.00
04/08/2017,Lotto,1438372.50
04/08/2017,Instant,4996305.00
04/08/2017,Pulltab,183084.53
04/08/2017,Instaplay,172057.00
04/15/2017,Lotto,1458838.00
04/15/2017,Instant,4677052.00
04/15/2017,Pulltab,198180.00
04/15/2017,Instaplay,184298.00
04/22/2017,Lotto,1503131.50
04/22/2017,Instant,5315534.00
04/22/2017,Pulltab,218430.00
04/22/2017,Instaplay,157504.00
04/29/2017,Lotto,1606327.00
04/29/2017,Instant,5342079.00
04/29/2017,Pulltab,185535.01
04/29/2017,Instaplay,184754.00
05/06/2017,Lotto,1647967.00
05/06/2017,Instant,4769078.00
05/06/2017,Pulltab,225841.77
05/06/2017,Instaplay,165280.00
05/13/2017,Lotto,1667210.00
05/13/2017,Instant,4432218.00
05/13/2017,Pulltab,119205.00
